input,CRA-Index,time
A,3,13579
A,3,5153
A,3,5213
A,3,4455
A,3,4791
A,3,4996
A,3,4932
A,3,4437
A,3,4881
A,3,4507
A,3,5246
A,3,4460
A,3,4896
A,3,4496
A,3,4534
A,3,5111
A,3,4314
A,3,4859
A,3,4415
A,3,5225
A,3,4504
A,1.833333333,3324
A,3,4386
A,3,4459
A,3,4505
A,3,5142
A,3,4531
A,3,4791
A,3,4667
A,3,4817
B,3.833333333,14513
B,3.833333333,16475
B,3.75,12268
B,1.763888889,5848
B,3.833333333,13637
B,3.75,13898
B,3.833333333,13864
B,3.5,16720
B,1.270833333,6087
B,3.833333333,16276
B,3.5,9722
B,2.541666667,9654
B,1.857638889,5638
B,3.833333333,15103
B,3.25,14497
B,1.857638889,6369
B,4,16166
B,1.857638889,5586
B,3.75,17324
B,3.833333333,13885
B,3.5,15731
B,3.833333333,15212
B,3.833333333,12088
B,1.983333333,6051
B,3.5,14857
B,3.833333333,16934
B,4,14148
B,3.833333333,15648
B,2.266666667,8595
B,1.857638889,5488
C,2.067613636,20512
C,1.75,20025
C,2.381818182,18288
C,1.800925926,9226
C,1.13377193,8178
C,2.607264957,26309
C,1.984848485,12521
C,1.580128205,14113
C,2.034415584,20066
C,1.536742424,20257
C,1.300438596,9074
C,1.776515152,18153
C,2.473863636,18777
C,-1.641111111,18621
C,2.322994652,14060
C,-0.248295455,14275
C,2.209659091,13903
C,2.34171123,16169
C,2.013636364,16191
C,2.316666667,17664
C,2.489204545,12006
C,2.203030303,24406
C,1.778472222,21131
C,3.002020202,40134
C,1.878030303,17750
C,2.05239899,16641
C,1.795454545,16592
C,1.868181818,18699
C,1.853114478,11028
C,2.544805195,29499
D,3.041176471,123566
D,2.786507937,79413
D,3.639412879,126602
D,2.298677249,78860
D,2.400116713,49174
D,1.293315095,101629
D,2.441105579,44407
D,2.642080469,84377
D,2.645899471,53986
D,2.106048906,49840
D,3.879038282,71705
D,2.896978022,66738
D,2.96197627,83675
D,3.587777617,86416
D,2.755469755,69827
D,3.28075615,143847
D,3.116071429,67483
D,3.115288221,60834
D,2.666558236,69259
D,2.90801861,88218
D,2.809295577,75532
D,2.374295491,90394
D,2.659685086,91163
D,1.488944328,87030
D,3.027731092,51760
D,5.08023416,145065
D,4.16853191,87727
D,3.656862745,71117
D,2.728206169,81838
D,3.167406963,76731
E,5.339073991,533636
E,8.081052666,575903
E,6.102546771,1130513
E,5.333134426,474642
E,4.859494001,503702
E,4.116219897,438675
E,5.255245629,519947
E,3.583919028,435175
E,4.37920572,1294796
E,5.866310818,744478
E,3.876940346,378930
E,6.362668219,907557
E,7.203378605,590417
E,6.72931862,689999
E,5.317857393,580523
E,6.299804453,906609
E,2.759940208,233777
E,4.209800469,6578344
E,3.594844156,423551
E,4.840586234,744564
E,5.534923786,869401
E,2.99028767,3551156
E,2.480275593,397196
E,1.819972266,446496
E,4.855972874,397064
E,3.924968828,470006
E,3.093131931,280024
E,5.178086205,593926
E,5.762842067,679940
E,5.329714397,403000
