input,CRA-Index,time
A,3.0,38847
A,3.0,27749
A,3.0,21169
A,3.0,21693
A,3.0,23815
A,3.0,19723
A,1.8333333333333333,15842
A,3.0,22635
A,3.0,21141
A,3.0,20305
A,3.0,20840
A,3.0,20597
A,3.0,19231
A,3.0,23711
A,3.0,32109
B,3.833333333333334,53417
B,3.75,68903
B,3.75,56602
B,4.0,75224
B,4.0,51317
B,3.75,63440
B,3.166666666666667,97239
B,4.0,90738
B,3.833333333333333,66433
B,3.666666666666667,66025
B,3.833333333333333,65697
B,3.75,55782
B,3.833333333333333,75512
B,2.666666666666667,54812
B,3.166666666666667,57861
C,1.522504456327986,59318
C,2.4960227272727273,86238
C,2.0389610389610384,90030
C,1.9385521885521886,44508
C,2.4960227272727273,71408
C,2.72936507936508,83616
C,1.3230431848852902,44424
C,1.5601604278074865,60437
C,1.9848484848484846,59723
C,1.6175505050505052,88477
C,2.3909090909090907,92639
C,1.6586538461538463,46031
C,2.0929292929292926,67270
C,2.7222222222222214,89767
C,1.8724747474747474,46498
D,3.2992164433340907,213289
D,2.4044267707082834,209230
D,3.359221107797958,416958
D,4.300802139037433,569639
D,3.7437575030012002,318001
D,3.340431787634409,397489
D,4.043383663625878,409773
D,3.593780239368475,366543
D,4.250087365591398,456976
D,3.8596638655462185,526365
D,3.545261437908497,311999
D,4.010026737967914,367411
D,3.3779311724689878,316276
D,3.612948815889992,433506
D,1.483736861861862,240246
